Time Step,Cluster,Dyad Count
0,0,2
0,1,2
0,2,3
0,3,6
0,4,5
0,5,6
0,6,5
0,7,5
0,8,2
1,0,4
1,1,2
1,2,4
1,3,7
1,4,2
1,5,3
1,6,3
1,7,8
1,8,3
2,0,5
2,1,3
2,2,3
2,3,8
2,4,3
2,5,2
2,6,3
2,7,6
2,8,3
3,0,5
3,1,1
3,2,4
3,3,6
3,4,3
3,5,3
3,6,4
3,7,9
3,8,1
4,0,1
4,1,4
4,2,1
4,3,4
4,4,7
4,5,2
4,6,1
4,7,8
4,8,8
5,0,5
5,1,2
5,2,4
5,3,10
5,4,5
5,5,3
5,6,2
5,7,3
5,8,2
6,0,9
6,1,0
6,2,0
6,3,4
6,4,4
6,5,3
6,6,3
6,7,11
6,8,2
7,0,3
7,1,3
7,2,5
7,3,5
7,4,1
7,5,3
7,6,5
7,7,8
7,8,3
8,0,4
8,1,3
8,2,7
8,3,5
8,4,3
8,5,3
8,6,2
8,7,9
8,8,0
9,0,7
9,1,2
9,2,1
9,3,12
9,4,0
9,5,2
9,6,2
9,7,8
9,8,2
10,0,7
10,1,0
10,2,1
10,3,6
10,4,5
10,5,7
10,6,3
10,7,4
10,8,3
11,0,0
11,1,4
11,2,1
11,3,7
11,4,1
11,5,2
11,6,8
11,7,7
11,8,6
12,0,9
12,1,6
12,2,2
12,3,4
12,4,5
12,5,3
12,6,3
12,7,4
12,8,0
13,0,5
13,1,5
13,2,6
13,3,3
13,4,3
13,5,3
13,6,2
13,7,6
13,8,3
14,0,3
14,1,2
14,2,2
14,3,4
14,4,6
14,5,2
14,6,5
14,7,11
14,8,1
15,0,4
15,1,5
15,2,6
15,3,0
15,4,0
15,5,7
15,6,5
15,7,6
15,8,3
16,0,1
16,1,4
16,2,3
16,3,7
16,4,6
16,5,4
16,6,3
16,7,4
16,8,4
17,0,6
17,1,0
17,2,3
17,3,3
17,4,10
17,5,4
17,6,1
17,7,5
17,8,4
18,0,3
18,1,3
18,2,6
18,3,3
18,4,4
18,5,5
18,6,3
18,7,5
18,8,4
19,0,3
19,1,5
19,2,3
19,3,4
19,4,4
19,5,5
19,6,2
19,7,7
19,8,3
20,0,7
20,1,2
20,2,1
20,3,3
20,4,2
20,5,4
20,6,2
20,7,10
20,8,5
21,0,7
21,1,2
21,2,4
21,3,3
21,4,7
21,5,0
21,6,2
21,7,9
21,8,2
22,0,4
22,1,2
22,2,3
22,3,5
22,4,3
22,5,5
22,6,4
22,7,6
22,8,4
23,0,4
23,1,5
23,2,3
23,3,5
23,4,7
23,5,2
23,6,4
23,7,6
23,8,0
24,0,3
24,1,6
24,2,6
24,3,5
24,4,3
24,5,1
24,6,4
24,7,6
24,8,2
25,0,7
25,1,2
25,2,2
25,3,2
25,4,6
25,5,4
25,6,7
25,7,4
25,8,2
26,0,5
26,1,5
26,2,7
26,3,6
26,4,2
26,5,4
26,6,6
26,7,1
26,8,0
27,0,3
27,1,3
27,2,3
27,3,2
27,4,5
27,5,3
27,6,7
27,7,5
27,8,5
28,0,5
28,1,4
28,2,6
28,3,1
28,4,7
28,5,2
28,6,7
28,7,2
28,8,2
29,0,2
29,1,2
29,2,2
29,3,5
29,4,2
29,5,6
29,6,6
29,7,8
29,8,3
30,0,8
30,1,3
30,2,4
30,3,4
30,4,3
30,5,3
30,6,2
30,7,8
30,8,1
31,0,5
31,1,3
31,2,3
31,3,4
31,4,3
31,5,2
31,6,3
31,7,9
31,8,4
32,0,5
32,1,4
32,2,6
32,3,4
32,4,1
32,5,4
32,6,3
32,7,5
32,8,4
33,0,4
33,1,6
33,2,5
33,3,4
33,4,3
33,5,3
33,6,2
33,7,5
33,8,4
34,0,1
34,1,6
34,2,6
34,3,7
34,4,3
34,5,2
34,6,4
34,7,4
34,8,3
35,0,1
35,1,4
35,2,2
35,3,3
35,4,4
35,5,3
35,6,2
35,7,13
35,8,4
36,0,4
36,1,2
36,2,8
36,3,5
36,4,3
36,5,3
36,6,3
36,7,6
36,8,2
37,0,6
37,1,3
37,2,5
37,3,3
37,4,4
37,5,7
37,6,2
37,7,4
37,8,2
38,0,2
38,1,6
38,2,2
38,3,4
38,4,5
38,5,6
38,6,2
38,7,4
38,8,5
39,0,3
39,1,5
39,2,4
39,3,5
39,4,7
39,5,2
39,6,1
39,7,3
39,8,6
40,0,4
40,1,4
40,2,5
40,3,2
40,4,3
40,5,1
40,6,2
40,7,9
40,8,6
41,0,2
41,1,4
41,2,3
41,3,6
41,4,3
41,5,5
41,6,2
41,7,6
41,8,5
42,0,7
42,1,2
42,2,5
42,3,5
42,4,3
42,5,0
42,6,8
42,7,4
42,8,2
43,0,2
43,1,4
43,2,5
43,3,5
43,4,4
43,5,3
43,6,3
43,7,6
43,8,4
44,0,2
44,1,6
44,2,2
44,3,7
44,4,4
44,5,1
44,6,5
44,7,4
44,8,5
45,0,1
45,1,3
45,2,2
45,3,4
45,4,5
45,5,8
45,6,5
45,7,6
45,8,2
46,0,2
46,1,5
46,2,3
46,3,5
46,4,3
46,5,5
46,6,3
46,7,7
46,8,3
47,0,2
47,1,1
47,2,7
47,3,1
47,4,3
47,5,0
47,6,5
47,7,9
47,8,8
48,0,2
48,1,3
48,2,4
48,3,5
48,4,5
48,5,2
48,6,4
48,7,6
48,8,5
49,0,6
49,1,3
49,2,3
49,3,2
49,4,4
49,5,6
49,6,3
49,7,8
49,8,1
50,0,7
50,1,3
50,2,3
50,3,3
50,4,6
50,5,3
50,6,4
50,7,4
50,8,3
51,0,4
51,1,6
51,2,5
51,3,4
51,4,1
51,5,5
51,6,1
51,7,4
51,8,6
52,0,3
52,1,1
52,2,2
52,3,3
52,4,5
52,5,6
52,6,7
52,7,8
52,8,1
53,0,3
53,1,4
53,2,3
53,3,7
53,4,3
53,5,4
53,6,4
53,7,4
53,8,4
54,0,4
54,1,7
54,2,6
54,3,7
54,4,3
54,5,5
54,6,1
54,7,1
54,8,2
55,0,2
55,1,5
55,2,5
55,3,4
55,4,6
55,5,0
55,6,3
55,7,9
55,8,2
56,0,2
56,1,2
56,2,5
56,3,3
56,4,5
56,5,2
56,6,4
56,7,8
56,8,5
57,0,3
57,1,2
57,2,3
57,3,6
57,4,6
57,5,4
57,6,5
57,7,5
57,8,2
58,0,3
58,1,5
58,2,3
58,3,3
58,4,6
58,5,3
58,6,3
58,7,6
58,8,4
59,0,4
59,1,6
59,2,7
59,3,6
59,4,3
59,5,3
59,6,1
59,7,2
59,8,4
60,0,1
60,1,3
60,2,5
60,3,1
60,4,7
60,5,4
60,6,6
60,7,3
60,8,6
61,0,6
61,1,4
61,2,5
61,3,3
61,4,4
61,5,4
61,6,2
61,7,3
61,8,5
62,0,7
62,1,5
62,2,7
62,3,1
62,4,2
62,5,4
62,6,3
62,7,3
62,8,4
63,0,5
63,1,3
63,2,5
63,3,3
63,4,3
63,5,3
63,6,3
63,7,5
63,8,6
64,0,8
64,1,7
64,2,2
64,3,5
64,4,0
64,5,2
64,6,3
64,7,7
64,8,2
65,0,7
65,1,4
65,2,2
65,3,1
65,4,4
65,5,7
65,6,3
65,7,6
65,8,2
66,0,1
66,1,3
66,2,2
66,3,2
66,4,5
66,5,5
66,6,4
66,7,7
66,8,7
67,0,5
67,1,1
67,2,4
67,3,3
67,4,2
67,5,4
67,6,3
67,7,7
67,8,7
68,0,4
68,1,4
68,2,3
68,3,5
68,4,6
68,5,3
68,6,0
68,7,7
68,8,4
69,0,5
69,1,2
69,2,4
69,3,7
69,4,1
69,5,5
69,6,2
69,7,7
69,8,3
70,0,5
70,1,4
70,2,9
70,3,4
70,4,3
70,5,2
70,6,3
70,7,3
70,8,3
71,0,3
71,1,2
71,2,5
71,3,3
71,4,7
71,5,2
71,6,3
71,7,9
71,8,2
72,0,4
72,1,1
72,2,4
72,3,5
72,4,4
72,5,9
72,6,2
72,7,5
72,8,2
73,0,9
73,1,1
73,2,1
73,3,5
73,4,2
73,5,3
73,6,2
73,7,6
73,8,7
74,0,4
74,1,1
74,2,2
74,3,5
74,4,5
74,5,4
74,6,3
74,7,8
74,8,4
75,0,4
75,1,1
75,2,5
75,3,6
75,4,4
