Time Step,Cluster,Dyad Count
0,0,7
0,1,4
0,2,4
0,3,3
0,4,6
0,5,3
0,6,3
0,7,3
0,8,2
0,9,1
1,0,6
1,1,1
1,2,1
1,3,1
1,4,6
1,5,3
1,6,4
1,7,5
1,8,7
1,9,2
2,0,3
2,1,3
2,2,0
2,3,3
2,4,7
2,5,4
2,6,2
2,7,2
2,8,7
2,9,5
3,0,2
3,1,1
3,2,4
3,3,1
3,4,8
3,5,3
3,6,3
3,7,3
3,8,8
3,9,3
4,0,6
4,1,1
4,2,3
4,3,5
4,4,2
4,5,6
4,6,1
4,7,2
4,8,8
4,9,2
5,0,2
5,1,2
5,2,3
5,3,0
5,4,7
5,5,2
5,6,4
5,7,5
5,8,6
5,9,5
6,0,3
6,1,3
6,2,4
6,3,3
6,4,4
6,5,3
6,6,2
6,7,3
6,8,10
6,9,1
7,0,5
7,1,1
7,2,1
7,3,5
7,4,3
7,5,5
7,6,2
7,7,2
7,8,11
7,9,1
8,0,7
8,1,2
8,2,1
8,3,2
8,4,4
8,5,3
8,6,2
8,7,2
8,8,11
8,9,2
9,0,4
9,1,1
9,2,3
9,3,2
9,4,8
9,5,4
9,6,4
9,7,3
9,8,5
9,9,2
10,0,4
10,1,1
10,2,1
10,3,5
10,4,2
10,5,4
10,6,7
10,7,1
10,8,5
10,9,6
11,0,3
11,1,3
11,2,6
11,3,2
11,4,6
11,5,1
11,6,2
11,7,2
11,8,6
11,9,5
12,0,2
12,1,0
12,2,4
12,3,2
12,4,2
12,5,3
12,6,5
12,7,4
12,8,7
12,9,7
13,0,7
13,1,2
13,2,3
13,3,6
13,4,2
13,5,2
13,6,4
13,7,4
13,8,5
13,9,1
14,0,3
14,1,7
14,2,4
14,3,2
14,4,4
14,5,2
14,6,2
14,7,4
14,8,7
14,9,1
15,0,6
15,1,6
15,2,3
15,3,2
15,4,2
15,5,2
15,6,4
15,7,7
15,8,4
15,9,0
16,0,4
16,1,3
16,2,5
16,3,3
16,4,6
16,5,2
16,6,3
16,7,2
16,8,5
16,9,3
17,0,4
17,1,4
17,2,6
17,3,3
17,4,2
17,5,2
17,6,2
17,7,3
17,8,6
17,9,4
18,0,6
18,1,4
18,2,5
18,3,1
18,4,2
18,5,5
18,6,2
18,7,6
18,8,4
18,9,1
19,0,7
19,1,1
19,2,6
19,3,1
19,4,5
19,5,5
19,6,1
19,7,3
19,8,3
19,9,4
20,0,7
20,1,4
20,2,2
20,3,4
20,4,3
20,5,5
20,6,1
20,7,1
20,8,7
20,9,2
21,0,7
21,1,4
21,2,6
21,3,3
21,4,1
21,5,2
21,6,2
21,7,1
21,8,8
21,9,2
22,0,2
22,1,4
22,2,5
22,3,0
22,4,3
22,5,4
22,6,4
22,7,4
22,8,7
22,9,3
23,0,3
23,1,5
23,2,0
23,3,4
23,4,4
23,5,2
23,6,0
23,7,6
23,8,10
23,9,2
24,0,1
24,1,3
24,2,4
24,3,3
24,4,5
24,5,3
24,6,3
24,7,6
24,8,6
24,9,2
25,0,5
25,1,4
25,2,4
25,3,0
25,4,1
25,5,5
25,6,2
25,7,4
25,8,2
25,9,9
26,0,5
26,1,2
26,2,4
26,3,2
26,4,5
26,5,3
26,6,3
26,7,3
26,8,6
26,9,3
27,0,4
27,1,6
27,2,2
27,3,3
27,4,1
27,5,3
27,6,3
27,7,4
27,8,7
27,9,3
28,0,6
28,1,3
28,2,2
28,3,6
28,4,2
28,5,1
28,6,2
28,7,7
28,8,5
28,9,2
29,0,3
29,1,2
29,2,4
29,3,3
29,4,6
29,5,3
29,6,2
29,7,4
29,8,4
29,9,5
30,0,4
30,1,2
30,2,5
30,3,2
30,4,1
30,5,1
30,6,4
30,7,6
30,8,7
30,9,4
31,0,5
31,1,5
31,2,3
31,3,0
31,4,4
31,5,6
31,6,3
31,7,4
31,8,3
31,9,3
32,0,3
32,1,3
