Time Step,Cluster,Dyad Count
0,0,10
0,1,7
0,2,9
0,3,10
1,0,11
1,1,8
1,2,7
1,3,10
2,0,7
2,1,9
2,2,11
2,3,9
3,0,5
3,1,7
3,2,10
3,3,14
4,0,9
4,1,5
4,2,7
4,3,15
5,0,7
5,1,10
5,2,9
5,3,10
6,0,10
6,1,5
6,2,6
6,3,15
7,0,7
7,1,6
7,2,5
7,3,18
8,0,8
8,1,4
8,2,5
8,3,19
9,0,3
9,1,8
9,2,15
9,3,10
10,0,11
10,1,12
10,2,5
10,3,8
11,0,9
11,1,5
11,2,10
11,3,12
12,0,7
12,1,13
12,2,5
12,3,11
13,0,12
13,1,10
13,2,5
13,3,9
14,0,11
14,1,7
14,2,5
14,3,13
15,0,10
15,1,12
15,2,4
15,3,10
16,0,9
16,1,8
16,2,8
16,3,11
17,0,13
17,1,12
17,2,2
17,3,9
18,0,12
18,1,7
18,2,4
18,3,13
19,0,11
19,1,7
19,2,5
19,3,13
20,0,6
20,1,9
20,2,5
20,3,16
21,0,11
21,1,7
21,2,3
21,3,15
22,0,7
22,1,9
22,2,6
22,3,14
23,0,8
23,1,6
23,2,7
23,3,15
24,0,7
24,1,11
24,2,8
24,3,10
25,0,14
25,1,12
25,2,4
25,3,6
26,0,11
26,1,7
26,2,8
26,3,10
27,0,11
27,1,10
27,2,4
27,3,11
28,0,11
28,1,9
28,2,4
28,3,12
29,0,9
29,1,9
29,2,8
29,3,10
30,0,6
30,1,12
30,2,6
30,3,12
31,0,8
31,1,10
31,2,7
31,3,11
32,0,7
32,1,12
32,2,6
32,3,11
33,0,9
33,1,5
33,2,8
33,3,14
34,0,8
34,1,9
34,2,12
34,3,7
35,0,10
35,1,8
35,2,7
35,3,11
36,0,11
36,1,7
36,2,8
36,3,10
37,0,10
37,1,10
37,2,6
37,3,10
38,0,10
38,1,9
38,2,6
38,3,11
39,0,8
39,1,10
39,2,10
39,3,8
40,0,10
40,1,9
40,2,6
40,3,11
41,0,14
41,1,6
41,2,8
41,3,8
42,0,6
42,1,13
42,2,7
42,3,10
43,0,9
43,1,9
43,2,7
43,3,11
44,0,15
44,1,10
44,2,5
44,3,6
45,0,13
45,1,7
45,2,4
45,3,12
46,0,12
46,1,10
46,2,4
46,3,10
47,0,10
47,1,9
47,2,3
47,3,14
48,0,7
48,1,12
48,2,4
48,3,13
49,0,8
49,1,9
49,2,5
49,3,14
50,0,11
50,1,5
50,2,7
50,3,13
51,0,10
51,1,11
51,2,7
51,3,8
52,0,10
52,1,5
52,2,4
52,3,17
53,0,11
53,1,9
53,2,9
53,3,7
54,0,10
54,1,7
54,2,9
54,3,10
55,0,10
55,1,11
55,2,6
55,3,9
56,0,11
56,1,6
56,2,8
56,3,11
57,0,6
57,1,9
57,2,6
57,3,15
58,0,11
58,1,10
58,2,5
58,3,10
59,0,8
59,1,13
59,2,8
59,3,7
60,0,13
60,1,12
60,2,3
60,3,8
61,0,12
61,1,10
61,2,4
61,3,10
62,0,13
62,1,15
62,2,2
62,3,6
63,0,9
63,1,11
63,2,6
63,3,10
64,0,14
64,1,4
64,2,7
64,3,11
65,0,11
65,1,9
65,2,3
65,3,13
66,0,9
66,1,12
66,2,4
66,3,11
67,0,5
67,1,6
67,2,9
67,3,16
68,0,11
68,1,12
68,2,5
68,3,8
69,0,9
69,1,12
69,2,7
69,3,8
70,0,12
70,1,9
70,2,7
70,3,8
71,0,7
71,1,16
71,2,3
71,3,10
72,0,9
72,1,10
72,2,7
72,3,10
73,0,13
73,1,12
73,2,5
73,3,6
74,0,12
74,1,6
74,2,6
74,3,12
75,0,9
75,1,9
75,2,8
75,3,10
76,0,11
76,1,8
76,2,4
76,3,13
77,0,13
77,1,9
77,2,8
77,3,6
78,0,10
78,1,9
78,2,8
78,3,9
79,0,9
79,1,9
79,2,7
79,3,11
80,0,7
80,1,12
80,2,6
80,3,11
81,0,9
81,1,8
81,2,8
81,3,11
82,0,11
82,1,9
82,2,3
82,3,13
83,0,13
83,1,8
83,2,6
83,3,9
84,0,7
84,1,8
84,2,11
84,3,10
85,0,3
85,1,8
85,2,14
85,3,11
86,0,11
86,1,8
86,2,9
86,3,8
87,0,10
87,1,9
87,2,6
87,3,11
88,0,13
88,1,8
88,2,4
88,3,11
89,0,12
89,1,12
89,2,3
89,3,9
90,0,9
90,1,12
90,2,6
90,3,9
91,0,11
91,1,9
91,2,6
91,3,10
92,0,15
92,1,7
92,2,6
92,3,8
93,0,11
93,1,11
93,2,6
93,3,8
94,0,10
94,1,9
94,2,4
94,3,13
95,0,10
95,1,11
95,2,6
95,3,9
96,0,12
96,1,8
96,2,9
96,3,7
97,0,7
97,1,14
97,2,8
97,3,7
98,0,10
98,1,15
98,2,5
98,3,6
99,0,6
99,1,13
99,2,7
99,3,10
100,0,10
100,1,6
100,2,9
100,3,11
101,0,8
101,1,10
101,2,12
101,3,6
102,0,6
102,1,13
102,2,7
102,3,10
103,0,10
103,1,9
103,2,6
103,3,11
104,0,10
104,1,10
104,2,4
104,3,12
105,0,14
105,1,7
105,2,5
105,3,10
106,0,10
106,1,10
106,2,4
106,3,12
107,0,12
107,1,11
107,2,3
107,3,10
108,0,11
108,1,7
108,2,8
108,3,10
109,0,9
109,1,8
109,2,9
109,3,10
110,0,11
110,1,9
110,2,7
110,3,9
111,0,8
111,1,11
111,2,9
111,3,8
112,0,11
112,1,6
112,2,8
112,3,11
113,0,9
113,1,10
113,2,3
113,3,14
114,0,13
114,1,10
114,2,6
114,3,7
115,0,6
115,1,16
115,2,4
115,3,10
116,0,12
116,1,11
116,2,3
116,3,10
117,0,3
117,1,7
117,2,8
117,3,18
118,0,8
118,1,12
118,2,6
118,3,10
119,0,13
