Time Step,Cluster,Dyad Count
0,0,5
0,1,4
0,2,7
0,3,5
0,4,4
0,5,4
0,6,4
0,7,3
1,0,6
1,1,4
1,2,6
1,3,2
1,4,3
1,5,1
1,6,10
1,7,4
2,0,1
2,1,4
2,2,10
2,3,4
2,4,5
2,5,2
2,6,7
2,7,3
3,0,3
3,1,4
3,2,6
3,3,3
3,4,4
3,5,3
3,6,9
3,7,4
4,0,4
4,1,2
4,2,3
4,3,5
4,4,1
4,5,4
4,6,11
4,7,6
5,0,3
5,1,2
5,2,9
5,3,2
5,4,5
5,5,2
5,6,9
5,7,4
6,0,4
6,1,1
6,2,4
6,3,3
6,4,1
6,5,6
6,6,12
6,7,5
7,0,5
7,1,4
7,2,4
7,3,6
7,4,0
7,5,4
7,6,11
7,7,2
8,0,6
8,1,2
8,2,4
8,3,2
8,4,3
8,5,4
8,6,11
8,7,4
9,0,0
9,1,1
9,2,15
9,3,4
9,4,6
9,5,1
9,6,9
9,7,0
10,0,3
10,1,3
10,2,5
10,3,5
10,4,5
10,5,4
10,6,6
10,7,5
11,0,3
11,1,3
11,2,7
11,3,6
11,4,3
11,5,4
11,6,8
11,7,2
12,0,2
12,1,2
12,2,3
12,3,6
12,4,7
12,5,4
12,6,6
12,7,6
13,0,6
13,1,5
13,2,4
13,3,7
13,4,4
13,5,1
13,6,6
13,7,3
14,0,7
14,1,4
14,2,4
14,3,3
14,4,2
14,5,7
14,6,7
14,7,2
15,0,6
15,1,5
15,2,2
15,3,4
15,4,5
15,5,3
15,6,5
15,7,6
16,0,4
16,1,5
16,2,5
16,3,4
16,4,2
16,5,4
16,6,7
16,7,5
17,0,7
17,1,5
17,2,2
17,3,6
17,4,5
17,5,5
17,6,6
17,7,0
18,0,7
18,1,4
18,2,4
18,3,4
18,4,3
18,5,4
18,6,5
18,7,5
19,0,3
19,1,2
19,2,4
19,3,3
19,4,2
19,5,7
19,6,8
19,7,7
20,0,3
20,1,3
20,2,4
20,3,8
20,4,2
20,5,2
20,6,11
20,7,3
21,0,3
21,1,4
21,2,2
21,3,2
21,4,4
21,5,5
21,6,11
21,7,5
22,0,6
22,1,4
22,2,4
22,3,1
22,4,4
22,5,8
22,6,6
22,7,3
23,0,1
23,1,3
23,2,3
23,3,6
23,4,3
23,5,6
23,6,7
23,7,7
24,0,4
24,1,5
24,2,5
24,3,2
24,4,8
24,5,4
24,6,4
24,7,4
25,0,6
25,1,6
25,2,3
25,3,3
25,4,6
25,5,9
25,6,1
25,7,2
26,0,6
26,1,2
26,2,6
26,3,3
26,4,3
26,5,1
26,6,9
26,7,6
27,0,3
27,1,4
27,2,1
27,3,6
27,4,6
27,5,5
27,6,7
27,7,4
28,0,6
28,1,6
28,2,3
28,3,7
28,4,2
28,5,4
28,6,6
28,7,2
29,0,5
29,1,5
29,2,6
29,3,7
29,4,1
29,5,5
29,6,5
29,7,2
30,0,6
30,1,4
30,2,2
30,3,2
30,4,5
30,5,4
30,6,8
30,7,5
31,0,6
31,1,1
31,2,4
31,3,5
31,4,5
31,5,6
31,6,6
31,7,3
32,0,2
32,1,8
32,2,5
32,3,2
32,4,4
32,5,3
32,6,7
32,7,5
33,0,2
33,1,4
33,2,4
33,3,3
33,4,3
33,5,5
33,6,6
33,7,9
34,0,7
34,1,2
34,2,10
34,3,3
34,4,3
34,5,4
34,6,4
34,7,3
35,0,5
