Time Step,Cluster,Dyad Count
0,0,6
0,1,3
0,2,20
0,3,4
0,4,3
1,0,9
1,1,6
1,2,11
1,3,3
1,4,7
2,0,4
2,1,6
2,2,12
2,3,10
2,4,4
3,0,5
3,1,9
3,2,8
3,3,4
3,4,10
4,0,8
4,1,5
4,2,12
4,3,4
4,4,7
5,0,8
5,1,4
5,2,14
5,3,6
5,4,4
6,0,8
6,1,8
6,2,8
6,3,3
6,4,9
7,0,3
7,1,2
7,2,14
7,3,9
7,4,8
8,0,6
8,1,5
8,2,15
8,3,5
8,4,5
9,0,8
9,1,7
9,2,8
9,3,4
9,4,9
10,0,3
10,1,11
10,2,10
10,3,7
10,4,5
11,0,7
11,1,7
11,2,11
11,3,6
11,4,5
12,0,7
12,1,7
12,2,10
12,3,8
12,4,4
13,0,9
13,1,2
13,2,10
13,3,10
13,4,5
14,0,3
14,1,7
14,2,18
14,3,5
14,4,3
15,0,8
15,1,11
15,2,9
15,3,5
15,4,3
16,0,6
16,1,7
16,2,8
16,3,10
16,4,5
17,0,9
17,1,6
17,2,7
17,3,7
17,4,7
18,0,9
18,1,5
18,2,8
18,3,6
18,4,8
19,0,5
19,1,10
19,2,4
19,3,11
19,4,6
20,0,4
20,1,9
20,2,8
20,3,6
20,4,9
21,0,5
21,1,9
21,2,9
21,3,5
21,4,8
22,0,11
22,1,5
22,2,4
22,3,6
22,4,10
23,0,6
23,1,9
23,2,11
23,3,5
23,4,5
24,0,7
24,1,7
24,2,12
24,3,4
24,4,6
25,0,5
25,1,9
25,2,10
25,3,4
25,4,8
26,0,11
26,1,4
26,2,12
26,3,6
26,4,3
27,0,6
27,1,3
27,2,9
27,3,11
27,4,7
28,0,11
28,1,4
28,2,6
28,3,5
28,4,10
29,0,8
29,1,4
29,2,6
29,3,12
29,4,6
30,0,7
30,1,6
30,2,9
30,3,5
30,4,9
31,0,8
31,1,2
31,2,9
31,3,10
31,4,7
