Time Step,Cluster,Dyad Count
0,0,11
0,1,25
1,0,14
1,1,22
2,0,14
2,1,22
3,0,23
3,1,13
4,0,16
4,1,20
5,0,16
5,1,20
6,0,20
6,1,16
7,0,13
7,1,23
8,0,16
8,1,20
9,0,23
9,1,13
10,0,15
10,1,21
11,0,16
11,1,20
12,0,15
12,1,21
13,0,15
13,1,21
14,0,11
14,1,25
15,0,16
15,1,20
16,0,22
16,1,14
17,0,21
17,1,15
18,0,21
18,1,15
19,0,16
19,1,20
20,0,19
20,1,17
21,0,16
21,1,20
22,0,23
22,1,13
23,0,12
23,1,24
24,0,16
24,1,20
25,0,22
25,1,14
26,0,13
26,1,23
27,0,18
27,1,18
28,0,20
28,1,16
29,0,18
29,1,18
30,0,23
30,1,13
31,0,15
31,1,21
