Time Step,Cluster,Dyad Count
0,0,9
0,1,4
0,2,17
0,3,1
0,4,5
1,0,11
1,1,4
1,2,13
1,3,6
1,4,2
2,0,7
2,1,7
2,2,15
2,3,4
2,4,3
3,0,4
3,1,3
3,2,9
3,3,12
3,4,8
4,0,7
4,1,8
4,2,10
4,3,8
4,4,3
5,0,6
5,1,4
5,2,17
5,3,6
5,4,3
6,0,9
6,1,2
6,2,10
6,3,6
6,4,9
7,0,7
7,1,4
7,2,14
7,3,8
7,4,3
8,0,2
8,1,9
8,2,14
8,3,6
8,4,5
9,0,5
9,1,3
9,2,9
9,3,10
9,4,9
10,0,7
10,1,6
10,2,13
10,3,6
10,4,4
11,0,4
11,1,11
11,2,10
11,3,4
11,4,7
12,0,3
12,1,11
12,2,12
12,3,4
12,4,6
13,0,8
13,1,7
13,2,11
13,3,7
13,4,3
14,0,5
14,1,6
14,2,19
14,3,2
14,4,4
15,0,8
15,1,3
15,2,11
15,3,3
15,4,11
16,0,7
16,1,7
16,2,10
16,3,4
16,4,8
17,0,6
17,1,8
17,2,8
17,3,7
17,4,7
18,0,7
18,1,8
18,2,9
18,3,7
18,4,5
19,0,5
19,1,12
19,2,7
19,3,7
19,4,5
20,0,3
20,1,6
20,2,9
20,3,10
20,4,8
21,0,5
21,1,8
21,2,10
21,3,8
21,4,5
22,0,11
22,1,5
22,2,7
22,3,9
22,4,4
23,0,5
23,1,9
23,2,12
23,3,5
23,4,5
24,0,13
24,1,2
24,2,11
24,3,4
24,4,6
25,0,7
25,1,4
25,2,11
25,3,6
25,4,8
26,0,11
26,1,6
26,2,11
26,3,3
26,4,5
27,0,10
27,1,8
27,2,8
27,3,5
27,4,5
28,0,12
28,1,5
28,2,7
28,3,9
28,4,3
29,0,6
29,1,7
29,2,9
29,3,8
29,4,6
30,0,9
30,1,8
30,2,7
30,3,7
30,4,5
31,0,5
31,1,10
31,2,9
31,3,5
31,4,7
